,17-08-2013,Aston Villa,1,3,4-2-3-1,2,buffer
buffer,24-08-2013,Fulham,3,1,4-2-3-1,6,
buffer,01-09-2013,Tottenham,1,0,4-2-3-1,4,
buffer,14-09-2013,Sunderland,3,1,4-2-3-1,2,
buffer,22-09-2013,Stoke City,3,1,4-2-3-1,2,
buffer,28-09-2013,Swansea City,2,1,4-2-3-1,2,
buffer,06-10-2013,West Bromwich Albion,1,1,4-2-3-1,3,
buffer,19-10-2013,Norwich City,4,1,4-2-3-1,5,
buffer,26-10-2013,Crystal Palace,2,0,4-2-3-1,4,
buffer,02-11-2013,Liverpool,2,0,4-1-4-1,4,
buffer,10-11-2013,Manchester United,0,1,4-2-3-1,1,
buffer,23-11-2013,Southampton,2,0,4-1-4-1,4,
buffer,30-11-2013,Cardiff City,3,0,4-1-4-1,4,
buffer,04-12-2013,Hull City,2,0,4-2-3-1,2,
buffer,08-12-2013,Everton,1,1,4-1-4-1,3,
buffer,14-12-2013,Manchester City,3,6,4-2-3-1,1,
buffer,23-12-2013,Chelsea,0,0,4-1-4-1,4,
buffer,26-12-2013,West Ham United,3,1,4-2-3-1,2,
buffer,29-12-2013,Newcastle,1,0,4-1-4-1,2,
buffer,01-01-2014,Cardiff City,2,0,4-2-3-1,2,
buffer,13-01-2014,Aston Villa,2,1,4-1-4-1,4,
buffer,18-01-2014,Fulham,2,0,4-2-3-1,2,
buffer,28-01-2014,Southampton,2,2,4-2-3-1,4,
buffer,02-02-2014,Crystal Palace,2,0,4-2-3-1,2,
buffer,08-02-2014,Liverpool,1,5,4-2-3-1,7,
buffer,12-02-2014,Manchester United,0,0,4-2-3-1,2,
buffer,22-02-2014,Sunderland,4,1,4-1-4-1,2,
buffer,01-03-2014,Stoke City,0,1,4-2-3-1,3,
buffer,16-03-2014,Tottenham,1,0,4-1-4-1,1,
buffer,22-03-2014,Chelsea,0,6,4-2-3-1,5,
buffer,25-03-2014,Swansea City,2,2,4-2-3-1,1,
buffer,29-03-2014,Manchester City,1,1,4-2-3-1,3,
buffer,06-04-2014,Everton,0,3,4-2-3-1,5,
buffer,15-04-2014,West Ham United,3,1,4-2-3-1,1,
buffer,20-04-2014,Hull City,3,0,4-1-4-1,4,
buffer,28-04-2014,Newcastle,3,0,4-1-4-1,3,
buffer,04-05-2014,West Bromwich Albion,1,0,4-2-3-1,1,
buffer,11-05-2014,Norwich City,2,0,4-1-4-1,5,
